V_25,p_25h,p_25r,p_25m,V_m25,uV_m25,,V_43,p_43h,p_43r,p_43m,V_m43,uV_m43,,V_35,p_35,p_35,p_35m,V_m35,uV_m35,,V_30,p_30h,p_30r,p_30m,V_m30,uV_m30,,V_40,p_40h,p_40r,p_40m,V_m40,uV_m40,,V_50,p_50h,p_50r,p_50m,V_m40,uV_m40
0.3,46,35,40.5,0.11333585190782,0.009639184081308,,0.7,35,35,35,0.264450321118247,0.010460081817565,,0.7,29,29,29,0.264450321118247,0.010460081817565,,0.60,27.5,26.9,27.2,0.23121387283237,0.010335193907956,,0.70,34,33,33.5,0.269749518304432,0.010577014117927,,0.80,40.5,40,40.25,0.308285163776493,0.010849341977555
,,,,,,,0.6,35,35,35,0.22667170381564,0.010200538859305,,0.5,29,31,30,0.188893086513034,0.009975652685617,,0.50,28.0,27.0,27.5,0.192678227360308,0.010126067239488,,0.50,34.5,33.7,34.1,0.192678227360308,0.010126067239488,,0.70,41.2,40.8,41,0.269749518304432,0.010577014117927
,,,,,,,0.5,37,35,36,0.188893086513034,0.009975652685617,,0.45,29,40,34.5,0.17000377786173,0.009876959946319,,0.40,29.0,28.0,28.5,0.154142581888247,0.009951695409405,,0.40,36,34.5,35.25,0.154142581888247,0.009951695409405,,0.60,41.9,41.5,41.7,0.23121387283237,0.010335193907956
,,,,,,,0.4,40,38,39,0.151114469210427,0.009787812425756,,0.35,29,48,38.5,0.132225160559124,0.009708473072828,,0.35,40.4,30.5,35.45,0.134874759152216,0.009878132065213,,0.35,43.6,42.7,43.15,0.134874759152216,0.009878132065213,,0.50,43,42.8,42.9,0.192678227360308,0.010126067239488
,,,,,,,0.35,48,49,48.5,0.132225160559124,0.009708473072828,,0.35,29,40,34.5,0.132225160559124,0.009708473072828,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.35,34,41,37.5,0.132225160559124,0.009708473072828,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.35,34,41,37.5,0.132225160559124,0.009708473072828,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n1=0.00259501pm0.00004698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n1,(2.595pm0.047)*10^-3,,0.002595,4.2E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2,(2.647pm0.047)*10^-3,,0.002647,4.5E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
